0.7,2.32
0.75,2.32
0.762,3.093
0.768,6.959
0.78,23.196
0.787,23.969
0.793,28.608
0.799,29.381
0.806,36.34
0.813,51.031
0.819,54.897
0.826,59.536
0.832,57.216
0.836,54.124
0.84,57.99
0.844,73.454
0.847,85.825
0.85,95.103
0.855,88.918
0.858,81.186
0.862,79.639
0.867,90.464
0.87,101.289
0.873,107.474
0.878,104.381
0.882,108.247
0.885,119.845
0.887,130.67
0.89,138.402
0.894,133.763
0.898,131.443
0.902,134.536
0.906,142.268
0.909,146.134
0.912,142.268
0.916,139.175
0.921,137.629
0.926,147.68
0.931,145.361
0.936,146.134
0.939,145.361
0.945,155.412
0.95,147.68
0.957,144.588
0.964,152.32
0.968,143.041
0.97,126.804
1.0,126.804
